municipio,poblacion_total,hombres,mujeres,densidad,superficie_km2,poblacion_menor_35,poblacion_menor_65,poblacion_65_mas,renta_bruta_media,alquiler_m2_colectiva,alquiler_m2_unifamiliar,num_bancos,longitud_bancos,latitud_bancos,avg_income,population_density,avg_rent_price,normalized_bank_count,perc_over_65,perc_under_35,economic_score,social_score,total_score_alpha_0,total_score_alpha_25,total_score_alpha_50,total_score_alpha_75,total_score_alpha_100,PC1_economic,PC2_social
Adra,25501.0,13058.0,12443.0,284.3106362345216,89.69414699970909,10527.0,21405.0,3454.0,20.359,2.1436112325,0.0,1.0,-3.0203617,36.748834,20.359,284.3106362345216,1.07180561625,0.0125,0.13544566879730208,0.4128073408885926,10.89036253484344,0.05521405429145265,0.05521405429145265,2.7640011744294495,5.472788294567446,8.181575414705444,10.89036253484344,-0.07121018312709686,-0.3725128070930507
Agolada,2228.0,1115.0,1113.0,15.068523294355389,147.85788603682224,477.0,1432.0,938.0,20.217,0.0,0.0,1.0,-8.0184167,42.762592,20.217,15.068523294355389,2.637703983157895,0.0125,0.42100538599640935,0.21409335727109516,0.48067545419544006,0.08900777581071978,0.08900777581071978,0.18692469540689985,0.2848416150030799,0.38275853459925996,0.48067545419544006,0.020372212819396853,-0.6774282168598523
Agoncillo,1153.0,636.0,517.0,33.04359509596844,34.89329767694298,341.0,860.0,245.0,25.847,3.62745098,3.28210425,1.0,-2.2913654,42.4451704,25.847,33.04359509596844,3.4547776150000002,0.0125,0.212489158716392,0.29575021682567215,1.0115594432973074,0.06205816832893413,0.06205816832893413,0.29943348707102746,0.5368088058131207,0.7741841245552141,1.0115594432973074,-0.05304997344262567,-0.2610917909274978
Agost,4906.0,2474.0,2432.0,73.62182172861507,66.63785118065277,1672.0,3785.0,928.0,23.022,2.9567661533333336,2.1969252966666666,1.0,-0.6396687,38.436906,23.022,73.62182172861507,2.576845725,0.0125,0.18915613534447615,0.34080717488789236,2.4953476049168053,0.06365994599821945,0.06365994599821945,0.6715818607278659,1.2795037754575125,1.8874256901871589,2.4953476049168053,-0.05464035441597943,-0.4238825684655738
Agramunt,5464.0,2763.0,2701.0,68.84256073510433,79.3695054578902,1963.0,4327.0,1066.0,29.313,3.88762378,0.7575757575,1.0,1.0985119,41.787076,29.313,68.84256073510433,2.32259976875,0.0125,0.195095168374817,0.3592606149341142,3.2847571156166833,0.06921388503399867,0.06921388503399867,0.8730996926796698,1.6769855003253409,2.4808713079710123,3.2847571156166833,-0.05266904954088246,0.04408005792066997
Ágreda,3006.0,1546.0,1460.0,18.23916152542223,164.8102077395475,992.0,2209.0,799.0,26.734,3.390366415,1.140625,1.0,-1.9214614,41.8548465,26.734,18.23916152542223,2.2654957075,0.0125,0.26580172987358613,0.3300066533599468,0.8872031990009434,0.08661988509120593,0.08661988509120593,0.2867657135686403,0.4869115420460746,0.687057370523509,0.8872031990009434,-0.026128363633529852,-0.1880641015460092
Aguadulce,2022.0,999.0,1023.0,147.66723078136883,13.692949947667843,771.0,1610.0,416.0,17.897,0.0,0.0,2.0,-3.78079275,37.0327131,17.897,147.66723078136883,2.637703983157895,0.025,0.20573689416419386,0.38130563798219586,3.4804975019675806,0.0764874217436096,0.0764874217436096,0.9274899417996023,1.778492461855595,2.629494981911588,3.4804975019675806,-0.031678565169476584,-0.8013026778704375
Agudo,1638.0,824.0,814.0,7.123023058942915,229.95854238370043,512.0,1121.0,566.0,19.156,0.0,0.0,1.0,-4.8698279,38.9820148,19.156,7.123023058942915,2.637703983157895,0.0125,0.34554334554334554,0.3125763125763126,0.21808853585311902,0.1066585564754063,0.1066585564754063,0.1345160513198345,0.16237354616426267,0.19023104100869084,0.21808853585311902,0.00801144606702836,-0.7639379268760085
Aguilar de Campoo,6711.0,3232.0,3479.0,28.518942760417257,235.31727863749927,2170.0,5323.0,1519.0,27.5,4.452221571666667,1.0057471266666669,1.0,-4.2605438,42.7928369,27.5,28.518942760417257,2.7289843491666668,0.0125,0.22634480703322904,0.3233497243331843,1.1723411736288505,0.07227367432146188,0.07227367432146188,0.34729054914830904,0.6223074239751561,0.8973242988020034,1.1723411736288505,-0.044804358601202465,-0.09986465611294662
Aguilar de la Frontera,13398.0,6684.0,6714.0,80.68293402784226,166.0574217018011,5213.0,11024.0,2414.0,19.114,0.2793677518181818,0.0,1.0,-4.6567166,37.5146967,19.114,80.68293402784226,0.1396838759090909,0.0125,0.18017614569338708,0.38908792357068217,13.951470019743596,0.06922805787474859,0.06922805787474859,3.5397885483419604,7.0103490388091725,10.480909529276383,13.951470019743596,-0.04973212544156535,-0.6477373834130133
Águilas,35956.0,17929.0,18027.0,142.75719459275845,251.86821653767575,14045.0,29233.0,5798.0,23.386,3.393694633,0.4159484136666666,1.0,-1.5804922,37.4099628,23.386,142.75719459275845,1.9048215233333332,0.0125,0.1612526421181444,0.3906163088218934,5.6583616462663375,0.06220056295381776,0.06220056295381776,1.4612408337819478,2.8602811046100776,4.259321375438208,5.6583616462663375,-0.06622032999432295,-0.1378310167957264
Agullent,2369.0,1184.0,1185.0,145.88300361275964,16.239040473065746,877.0,1979.0,434.0,25.982,2.55840823,3.22894998,1.0,-0.5475331,38.8232056,25.982,145.88300361275964,2.893679105,0.0125,0.18319966230476994,0.37019839594765724,4.575986169635133,0.0669724683593361,0.0669724683593361,1.1942258936782852,2.3214793189972345,3.448732744316184,4.575986169635133,-0.054369542733351116,-0.1893713818932336
Ahigal,1393.0,711.0,682.0,26.7516393465282,52.07157520164394,382.0,962.0,439.0,15.354,0.0,0.0,1.0,-6.1880415,40.1890481,15.354,26.7516393465282,2.637703983157895,0.0125,0.3151471643933956,0.2742282842785355,0.6361102980049744,0.08534198785951087,0.08534198785951087,0.22303406539587678,0.36072614293224264,0.49841822046860856,0.6361102980049744,-0.009148879531707153,-1.0387059776682421
Aielo de Malferit,4592.0,2320.0,2272.0,171.73225047876633,26.73929903788091,1804.0,3873.0,773.0,23.353,1.32743363,0.0,1.0,-0.5911695,38.8803632,23.353,171.73225047876633,0.663716815,0.0125,0.1683362369337979,0.39285714285714285,12.406564273431005,0.06530544191762071,0.06530544191762071,3.1506201497959667,6.235934857674313,9.32124956555266,12.406564273431005,-0.05592439510723497,-0.3557702246018081
Aiguafreda,2556.0,1239.0,1317.0,322.66193587679714,7.921603746206879,807.0,1939.0,562.0,34.846,5.68692424,5.13389431,2.0,2.7381929,41.86747675,34.846,322.66193587679714,5.410409274999999,0.025,0.21987480438184664,0.31572769953051644,7.037149386798159,0.06768505201789768,0.06768505201789768,1.810051135712963,3.5524172194080283,5.2947833031030935,7.037149386798159,-0.05071491249196798,0.5390255929461196
