municipio,poblacion_total,hombres,mujeres,densidad,superficie_km2,poblacion_menor_35,poblacion_menor_65,poblacion_65_mas,renta_bruta_media,alquiler_m2_colectiva,alquiler_m2_unifamiliar,num_bancos,longitud_bancos,latitud_bancos,avg_income,population_density,avg_rent_price,normalized_bank_count,perc_over_65,perc_under_35,economic_score,social_score,total_score_alpha_0,total_score_alpha_25,total_score_alpha_50,total_score_alpha_75,total_score_alpha_100,PC1_economic,PC2_social,economic_score_normalized,social_score_normalized,total_score_alpha_50_normalized,economic_category,social_category
Olmedo,3574.0,1778.0,1796.0,27.62268781138677,129.38639514025522,1191.0,2894.0,760.0,25.51,2.93304351,0.0,1.0,-4.68669,41.2870983,25.51,27.62268781138677,1.466521755,0.0125,0.002126468942361499,0.003332400671516508,1.8978715576913303,0.069976684498409,0.069976684498409,0.5269504027966393,0.9839241210948697,1.4408978393931,1.8978715576913303,-0.0466922351351879,-0.2706212109650281,7.075881109029634,70.55848039549018,7.048591002568215,Very Low,High
Olocau,2028.0,1078.0,950.0,54.18365762688707,37.42825953103734,515.0,1424.0,342.0,30.128,0.0,5.05952381,1.0,-0.531206,39.7006763,30.128,54.18365762688707,2.529761905,0.0125,0.0016863905325443778,0.0025394477317554243,2.518033933334032,0.0422896935506459,0.0422896935506459,0.6612257534964924,1.280161813442339,1.8990978733881854,2.518033933334032,-0.0812260084193212,0.0715363026264732,9.453038663158896,42.64129595040157,9.319705570815136,Very Low,Medium
Olost,1190.0,578.0,612.0,41.06039709029563,28.9816973124512,378.0,899.0,289.0,34.048,4.83333333,3.53194444,1.0,2.0941372,41.9851518,34.048,41.06039709029563,4.182638885,0.0125,0.002428571428571428,0.003176470588235294,1.3652739457206278,0.0761785714285714,0.0761785714285714,0.3984524150015855,0.7207262585745996,1.0430001021476139,1.3652739457206278,-0.041804223892935,0.3507145489497301,5.034369907555539,76.81193067701729,5.030777215387792,Very Low,High
Olot,36299.0,18284.0,18015.0,1249.409525019887,29.052924019786243,13078.0,27672.0,6814.0,31.103,5.679672929047619,3.485481957142857,1.0,2.4890211,42.1822177,31.103,1249.409525019887,4.582577443095238,0.0125,0.001877186699358109,0.003602854073114961,16.144865109532127,0.0667868937395735,0.0667868937395735,4.086306447687712,8.105826001635851,12.125345555583989,16.144865109532127,-0.0865142054094081,0.9515718780008192,61.686334234779196,67.3421692722027,61.64885130823471,High,High
Olula del Río,6258.0,3201.0,3057.0,266.97988388577096,23.43996824374051,2413.0,5254.0,958.0,24.301,3.25723616,0.0,1.0,-2.2965931,37.3559681,24.301,266.97988388577096,1.62861808,0.0125,0.001530840524129114,0.003855864493448386,10.006146585953196,0.0582892970184485,0.0582892970184485,2.5452536192521356,5.032217941485823,7.519182263719509,10.006146585953196,-0.0661451285300964,-0.2292161723102757,38.15588207557519,58.773922348901955,38.08494900001608,Low,Medium
Olvera,8016.0,3931.0,4085.0,41.3850943492926,193.69292558196184,2906.0,6417.0,1707.0,21.099,0.0,0.0,1.0,-5.2601194,36.9348951,21.099,41.3850943492926,2.637703983157895,0.0125,0.002129491017964072,0.003625249500998004,1.321674553724394,0.0762343704712581,0.0762343704712581,0.38759441628454205,0.698954462097826,1.01031450791111,1.321674553724394,-0.0402205140289897,-0.5582474181096695,4.867248153463506,76.86819364071323,4.863863127705425,Very Low,High
Olèrdola,3847.0,1989.0,1858.0,128.30124245291842,29.984121170234967,1322.0,3025.0,586.0,35.675,3.685977565,4.300550475,0.0,0.0,0.0,35.675,128.30124245291842,3.99326402,0.0,0.00152326488172602,0.003436443982323888,4.217993342987708,0.0523461443629269,0.0523461443629269,1.0937579440191223,2.1351697436753176,3.176581543331513,4.217993342987708,-0.084045281722551,0.5423748084781828,15.969189128080957,52.78135749479601,15.87464782320456,Very Low,Medium
Olías del Rey,8225.0,4179.0,4046.0,205.1855899103396,40.08566100374836,3176.0,6742.0,915.0,34.773,3.6201510625,3.26357222,1.0,-3.9872516,39.9447357,34.773,205.1855899103396,3.44186164125,0.0125,0.001112462006079027,0.003861398176291793,6.992535882906598,0.0424196302694912,0.0424196302694912,1.7799486934287678,3.5174777565880446,5.255006819747321,6.992535882906598,-0.0883212897392747,0.531612665919218,26.60434697877441,42.772312981217155,26.472150933133737,Low,Medium
Onda,24939.0,12504.0,12435.0,230.4871665452964,108.20125204280676,9548.0,20859.0,3991.0,28.046,3.2492684757142856,1.052157265,1.0,-0.2625745,39.965214,28.046,230.4871665452964,2.1507128703571428,0.0125,0.001600304743574321,0.003828541641605517,8.769526319164289,0.0605024793315771,0.0605024793315771,2.237758439289755,4.415014399247933,6.592270359206111,8.769526319164289,-0.0697835180078687,0.1676285729270113,33.4157667054028,61.00550536790138,33.35314075089592,Low,High
Ondara,7080.0,3564.0,3516.0,679.8814044475557,10.413580888791808,2543.0,5630.0,1185.0,23.303,4.034893095,2.62586566,1.0,0.0170054,38.8277759,23.303,679.8814044475557,3.3303793775,0.0125,0.001673728813559322,0.003591807909604519,10.659457209629725,0.0593656598618691,0.0593656598618691,2.709388547303833,5.359411434745797,8.009434322187762,10.659457209629725,-0.0725091275386439,-0.1049165108814902,40.66010088223223,59.859234222854106,40.59338708326555,Medium,Medium
