Name,Titulares,NUMERODECLARACIONES,NUMEROHABITANTES,POSICIONAMIENTORENTA BRUTA MEDIANIVELNACIONAL,POSICIONAMIENTORENTA BRUTA MEDIANIVELAUTONÓMICO,RENTA BRUTA MEDIA,RENTA BRUTA MEDIANA,RENTA DISPONIBLEMEDIA,RENTA DISPONIBLEMEDIANA
Moriles-14045,2.080,1.804,3.643,2.735,445,17.964,15.657,15.869,14.703
Encinas Reales-14024,1.344,1.178,2.234,2.767,466,17.727,14.846,15.581,14.319
Almedinilla-14004,1.489,1.319,2.323,2.774,469,17.643,13.604,15.634,13.241
Fuente Palmera-14030,5.980,5.481,9.907,2.786,479,17.460,15.408,15.328,14.440
Benamejí-14010,2.945,2.588,4.910,2.812,496,17.194,14.609,15.140,14.089
Luque-14039,1.901,1.696,2.809,2.819,503,17.057,14.016,15.082,13.535
Adamuz-14001,2.484,2.260,4.091,2.828,511,16.924,13.962,14.945,13.565
Monturque-14044,1.199,1.082,1.933,2.832,513,16.827,15.473,14.854,14.501
"Guijarrosa,La-14902",870,790,1.333,2.834,515,16.767,14.241,14.782,13.520
Iznájar-14037,2.321,2.056,3.739,2.862,532,16.241,13.271,14.456,12.879
Valenzuela-14063,700,625,1.041,2.873,540,15.940,12.478,14.283,12.291
Fuentecarreteros-14901,630,582,1.067,2.883,544,15.558,13.968,13.984,13.429
Nueva Carteya-14046,3.449,3.019,5.307,2.884,545,15.549,13.124,13.926,12.522
Agrupación municipios pequeños-14,4.068,3.641,6.956,-,-,19.117,15.173,16.636,14.533
Granada,535.025,476.129,937.135,,,25.982,20.462,21.503,17.970
Huétor de Santillán-18099,1.195,1.043,1.938,352,12,32.785,22.574,26.430,19.248
Villa de Otura-18149,4.432,3.903,7.606,356,13,32.708,24.488,26.310,20.781
Granada-18087,147.359,134.300,232.717,360,14,32.694,26.326,26.223,22.271
Huétor Vega-18101,7.302,6.492,12.294,391,17,32.349,24.320,25.934,20.719
Cájar-18036,3.231,2.920,5.492,423,20,31.890,25.086,25.565,21.117
Ogíjares-18145,8.871,7.885,15.063,584,26,30.374,24.601,24.611,20.919
Dílar-18068,1.238,1.094,2.319,705,31,29.585,24.115,24.171,20.779
Gójar-18084,3.657,3.236,6.340,741,33,29.290,23.712,23.848,20.290
Albolote-18003,11.179,9.853,19.587,762,37,29.146,22.952,23.672,19.711
Jun-18111,2.358,2.059,4.145,768,38,29.097,23.682,23.739,20.384
Armilla-18021,13.925,12.461,25.405,841,41,28.575,23.082,23.261,19.782
Monachil-18134,4.935,4.461,8.608,908,46,28.004,22.503,22.919,19.396
Nivar-18144,614,561,1.069,948,49,27.698,23.901,22.899,20.294
