municipio,poblacion_total,hombres,mujeres,densidad,superficie_km2,poblacion_menor_35,poblacion_menor_65,poblacion_65_mas,renta_bruta_media,alquiler_m2_colectiva,alquiler_m2_unifamiliar,num_bancos,municipio_key,provincia
Sabiñán,686.0,365.0,321.0,44.18909941196643,15.524190561218608,160.0,446.0,245.0,22.433,0.0,0.0,2.0,sabinan,Zaragoza
Sabiñánigo,9352.0,4685.0,4667.0,15.936650638285297,586.8234306105256,3019.0,7238.0,2007.0,29.423,4.623834338571428,0.7936507942857143,4.0,sabinanigo,Huesca
Sabiote,3867.0,1908.0,1959.0,34.54406816086054,111.94396624024226,1467.0,3102.0,856.0,17.929,0.0,0.0,2.0,sabiote,Jaén
Sacañet,57.0,38.0,19.0,1.8687770067466456,30.50123144399733,5.0,36.0,23.0,23.496,0.0,0.0,2.0,sacanet,Castellón/Castelló
Sacecorbo,91.0,52.0,39.0,1.2561253374309622,72.44499994412496,14.0,47.0,38.0,22.597,0.0,0.0,2.0,sacecorbo,Guadalajara
Saceda-Trasierra,42.0,27.0,15.0,1.3582979566008946,30.921050713426613,1.0,13.0,25.0,20.03,0.0,0.0,1.0,saceda-trasierra,Cuenca
Sacedón,1530.0,796.0,734.0,13.744040379191713,111.32097678615663,489.0,1157.0,362.0,22.426,3.70497427,3.125,1.0,sacedon,Guadalajara
Saceruela,540.0,282.0,258.0,2.183753478744631,247.2806593125285,152.0,392.0,185.0,19.156,0.0,0.0,1.0,saceruela,Ciudad Real
Sacramenia,373.0,181.0,192.0,8.386145811013543,44.47812003341729,79.0,215.0,157.0,21.867,0.0,0.0,1.0,sacramenia,Segovia
Sada,136.0,78.0,58.0,10.747984291284428,12.653535427129608,4717.0,11940.0,3699.0,31.251,3.182333041,1.818835509,2.0,sada,Navarra
Sada,136.0,78.0,58.0,10.747984291284428,12.653535427129608,4717.0,11940.0,3699.0,31.251,3.182333041,1.818835509,2.0,sada,"Coruña, A"
Sada,16382.0,8006.0,8376.0,590.2214479538789,27.755684000965218,4717.0,11940.0,3699.0,31.251,3.182333041,1.818835509,2.0,sada,Navarra
Sada,16382.0,8006.0,8376.0,590.2214479538789,27.755684000965218,4717.0,11940.0,3699.0,31.251,3.182333041,1.818835509,2.0,sada,"Coruña, A"
Sádaba,1294.0,662.0,632.0,9.988501112366826,129.5489669013392,364.0,967.0,357.0,24.656,1.94805195,0.0,1.0,sadaba,Zaragoza
Saelices,459.0,236.0,223.0,5.693538517241435,80.61770349142894,128.0,323.0,182.0,17.987,0.0,0.0,2.0,saelices,Cuenca
Saelices de la Sal,39.0,21.0,18.0,2.013623673000261,19.368067888222,6.0,22.0,22.0,22.597,0.0,0.0,2.0,saelices de la sal,Guadalajara
Saelices de Mayorga,113.0,69.0,44.0,7.139482798817298,15.827477029389186,13.0,61.0,53.0,18.755,0.0,0.0,6.0,saelices de mayorga,Valladolid
Saelices el Chico,159.0,90.0,69.0,3.490460862370356,45.552723915094646,30.0,105.0,42.0,18.514,0.0,0.0,1.0,saelices el chico,Salamanca
Sagàs,151.0,79.0,72.0,3.366508470622191,44.85359277058124,67.0,133.0,28.0,37.26,0.0,0.0,3.0,sagas,Barcelona
Sagra,427.0,201.0,226.0,75.98835940825164,5.619281733744494,66.0,220.0,169.0,23.829,0.0,0.0,1.0,sagra,Alicante/Alacant
Sagunt/Sagunto,67043.0,32822.0,34221.0,500.6108492809994,133.9223872121235,Unknown,36430.0,7963.0,26.364,3.715034601875,0.577027338125,5.0,sagunt,Valencia/València
sagunto,3780.0,1850.0,1930.0,48.33043973572708,44.75873198035128,22602.0,52080.0,13589.0,29.441,4.561320233414634,0.997465344390244,1.0,sagunto,
Sahagún,2441.0,1210.0,1231.0,19.742673646577508,123.6408018335024,670.0,1738.0,779.0,22.508,3.39533988,2.6386219850000003,1.0,sahagun,León
Sahún,302.0,147.0,155.0,4.116550844609755,73.36238793101299,89.0,224.0,70.0,25.059,4.29300864,5.01678204,3.0,sahun,Huesca
Sajazarra,129.0,70.0,59.0,9.321288154385517,13.839288933397857,36.0,91.0,39.0,26.786,0.0,0.0,1.0,sajazarra,"Rioja, La"
Salamanca,143269.0,64867.0,78402.0,3621.5975166327967,39.5596140493285,44713.0,105241.0,38737.0,28.605,5.664075920082644,0.2769981958677686,19.0,salamanca,Salamanca
Salar,2638.0,1322.0,1316.0,31.275663930026766,84.34673060504849,1050.0,2104.0,535.0,16.671,0.0,0.0,2.0,salar,Granada
Salares,173.0,88.0,85.0,16.818460607493268,10.286315973705817,47.0,124.0,50.0,19.925,0.0,0.0,1.0,salares,Málaga
Salas,4878.0,2410.0,2468.0,21.477361003841366,227.1228759961496,1198.0,3337.0,1747.0,24.813,1.7217631525,1.6340477325,2.0,salas,Asturias
Salas Altas,309.0,160.0,149.0,14.901959295643636,20.73552838721896,75.0,205.0,103.0,24.076,0.0,0.0,2.0,salas altas,Huesca
Salas Bajas,193.0,95.0,98.0,14.92738808686066,12.929254527111938,43.0,122.0,45.0,24.076,0.0,0.0,2.0,salas bajas,Huesca
Salas de Bureba,135.0,79.0,56.0,10.14917193452689,13.301577790867636,30.0,101.0,30.0,21.137,0.0,0.0,2.0,salas de bureba,Burgos
Salas de los Infantes,1980.0,1021.0,959.0,63.215562618241805,31.32140121819688,588.0,1464.0,491.0,25.856,3.58306277,4.17402913,2.0,salas de los infantes,Burgos
Salàs de Pallars,343.0,187.0,156.0,16.212130588086133,21.15699711005669,83.0,232.0,92.0,28.676,0.0,0.0,1.0,salas de pallars,Lleida
Salce,89.0,38.0,51.0,2.552674928061353,34.86538729300392,18.0,56.0,47.0,21.648,0.0,0.0,2.0,salce,Zamora
Salceda de Caselas,9249.0,4635.0,4614.0,257.5046384697574,35.917799597564326,3557.0,7831.0,1315.0,24.74,1.947273647142857,1.1291891557142857,3.0,salceda de caselas,Pontevedra
Salcedillo,11.0,7.0,4.0,0.6513388502760818,16.888290933877887,4.0,16.0,1.0,27.619,0.0,0.0,1.0,salcedillo,Teruel
Saldaña,2950.0,1515.0,1435.0,22.3566178574494,131.95198034022113,958.0,2317.0,687.0,26.12,2.3319303566666663,0.0,2.0,saldana,Palencia
Saldaña de Burgos,189.0,109.0,80.0,23.18908317904885,8.15038691011122,62.0,139.0,30.0,21.137,0.0,0.0,2.0,saldana de burgos,Burgos
Saldeana,98.0,56.0,42.0,4.736082058849692,20.692209041623407,8.0,44.0,65.0,21.727,0.0,0.0,1.0,saldeana,Salamanca
Saldes,283.0,163.0,120.0,4.232598267063985,66.86200346538153,53.0,186.0,79.0,46.357,0.0,4.05829712,1.0,saldes,Barcelona
Saldías,114.0,62.0,52.0,12.737989197713445,8.949607212766656,38.0,87.0,29.0,31.251,0.0,0.0,1.0,saldias,Navarra
Saldón,25.0,16.0,9.0,0.8813062509758165,28.366983636300127,1.0,13.0,13.0,27.619,0.0,0.0,1.0,saldon,Teruel
Salduero,147.0,79.0,68.0,54.54520687542438,2.695012237018971,26.0,88.0,56.0,21.77,0.0,0.0,1.0,salduero,Soria
Salem,414.0,212.0,202.0,48.11009326569288,8.605262885557982,157.0,339.0,94.0,24.464,0.0,0.0,1.0,salem,Valencia/València
Sales de Llierca,164.0,79.0,85.0,4.578308919574916,35.821086536735265,57.0,133.0,18.0,22.892,0.0,0.0,1.0,sales de llierca,Girona
Salillas,107.0,59.0,48.0,3.7764400566224055,28.33356240154366,18.0,57.0,39.0,24.076,0.0,0.0,2.0,salillas,Huesca
Salillas de Jalón,338.0,167.0,171.0,134.52451248168416,2.5125532422651933,75.0,205.0,99.0,22.433,0.0,0.0,2.0,salillas de jalon,Zaragoza
Salinas,1642.0,842.0,800.0,26.607421339433248,61.7121057712756,553.0,1263.0,322.0,21.783,0.0,3.18181818,1.0,salinas,Alicante/Alacant
Salinas de Oro/Jaitz,108.0,57.0,51.0,7.788471398979962,13.866649110908272,32.0,86.0,24.0,31.251,0.0,0.0,1.0,salinas de oro,Navarra
Salinas de Pisuerga,311.0,160.0,151.0,14.668069405789424,21.202517618116097,61.0,195.0,122.0,22.636,0.0,0.0,2.0,salinas de pisuerga,Palencia
Salinas del Manzano,74.0,44.0,30.0,2.1993936165935546,33.64563734372023,15.0,51.0,30.0,20.03,0.0,0.0,1.0,salinas del manzano,Cuenca
"salines, ses",19058.0,9528.0,9530.0,467.5589657435865,3.853838202709724,1650.0,3987.0,890.0,33.633,6.11058972,4.9540207,1.0,"salines, ses",
