municipio,poblacion_total,hombres,mujeres,densidad,superficie_km2,poblacion_menor_35,poblacion_menor_65,poblacion_65_mas,renta_bruta_media,alquiler_m2_colectiva,alquiler_m2_unifamiliar,num_bancos,longitud_bancos,latitud_bancos,avg_income,population_density,avg_rent_price,normalized_bank_count,perc_over_65,perc_under_35,economic_score,social_score,total_score_alpha_0,total_score_alpha_25,total_score_alpha_50,total_score_alpha_75,total_score_alpha_100,PC1_economic,PC2_social,economic_score_normalized,social_score_normalized,total_score_alpha_50_normalized,economic_category,social_category,name_normalized,lat,lon
Laxe,3004.0,1511.0,1493.0,82.0584159150414,36.60806714950689,822.0,2172.0,912.0,22.341,2.9765490249999997,1.00281702,0.0,0.0,0.0,22.341,82.0584159150414,1.9896830225,0.0,0.0030359520639147,0.0027363515312916,3.2959956155164063,0.0830743207902113,0.0830743207902113,0.88630464447176,1.6895349681533087,2.4927652918348575,3.2959956155164063,-0.3296424189118196,0.179194239772384,12.488796282061903,78.60286014020252,12.452759892310247,Very Low,High,laxe,42.7358665,-7.9885448
Laxe,3004.0,1511.0,1493.0,82.0584159150414,36.60806714950689,822.0,2172.0,912.0,22.341,2.9765490249999997,1.00281702,0.0,0.0,0.0,22.341,82.0584159150414,1.9896830225,0.0,0.0030359520639147,0.0027363515312916,3.2959956155164063,0.0830743207902113,0.0830743207902113,0.88630464447176,1.6895349681533087,2.4927652918348575,3.2959956155164063,-0.3296424189118196,0.179194239772384,12.488796282061903,78.60286014020252,12.452759892310247,Very Low,High,laxe,43.2224591,-9.0060173
Laxe,3004.0,1511.0,1493.0,82.0584159150414,36.60806714950689,822.0,2172.0,912.0,22.341,2.9765490249999997,1.00281702,0.0,0.0,0.0,22.341,82.0584159150414,1.9896830225,0.0,0.0030359520639147,0.0027363515312916,3.2959956155164063,0.0830743207902113,0.0830743207902113,0.88630464447176,1.6895349681533087,2.4927652918348575,3.2959956155164063,-0.3296424189118196,0.179194239772384,12.488796282061903,78.60286014020252,12.452759892310247,Very Low,High,laxe,42.2169967,-8.7168286
Laza,1222.0,632.0,590.0,5.659603022264666,215.91620387378725,232.0,688.0,599.0,19.886,0.0,0.0,0.0,0.0,0.0,19.886,5.659603022264666,2.637703983157895,0.0,0.0049018003273322,0.0018985270049099,0.1780520225398902,0.0930620029411685,0.0930620029411685,0.1143095078408489,0.1355570127405293,0.1568045176402097,0.1780520225398902,-0.392291959695735,0.2969235382748448,0.4928032401597552,88.05295706268002,0.4866864759898678,Very Low,Very High,laza,42.0604757,-7.4612117
Laza,1222.0,632.0,590.0,5.659603022264666,215.91620387378725,232.0,688.0,599.0,19.886,0.0,0.0,0.0,0.0,0.0,19.886,5.659603022264666,2.637703983157895,0.0,0.0049018003273322,0.0018985270049099,0.1780520225398902,0.0930620029411685,0.0930620029411685,0.1143095078408489,0.1355570127405293,0.1568045176402097,0.1780520225398902,-0.392291959695735,0.2969235382748448,0.4928032401597552,88.05295706268002,0.4866864759898678,Very Low,Very High,laza,42.2758148,-7.4557417
Lebrija,27616.0,13778.0,13838.0,73.60515523235632,375.1911114489464,11235.0,23474.0,3958.0,21.901,0.8420882105555556,0.9063145544444444,0.0,0.0,0.0,21.901,73.60515523235632,0.8742013825,0.0,0.0014332271147161,0.0040682937427578,5.740420878314179,0.0583078890275038,0.0583078890275038,1.4788361363491729,2.8993643836708416,4.31989263099251,5.740420878314179,-0.1926393065292756,0.0439877598233277,21.893491257951027,55.169477194682855,21.768791407996265,Low,Medium,lebrija,36.9193102,-6.0764057
Leciñena,1132.0,579.0,553.0,6.336812664985723,178.63870369009095,290.0,783.0,379.0,32.043,0.0,2.38970074,0.0,0.0,0.0,32.043,6.336812664985723,1.19485037,0.0,0.0033480565371024,0.0025618374558303,0.7000959534209784,0.085771766409869,0.085771766409869,0.2393528131626463,0.3929338599154237,0.5465149066682011,0.7000959534209784,-0.0969284644654615,0.0286787744634231,2.5013178831197984,81.15511622560815,2.4685615973378923,Very Low,Very High,leciñena,41.7990634,-0.6114256
Lecrín,2197.0,1098.0,1099.0,54.263255195342055,40.48780324901316,650.0,1554.0,549.0,21.765,0.0,0.0,0.0,0.0,0.0,21.765,54.263255195342055,2.637703983157895,0.0,0.0024988620846609,0.0029585798816568,1.7304877627173665,0.0739308309071272,0.0739308309071272,0.488070063859687,0.9022092968122468,1.3163485297648063,1.7304877627173665,-0.3650729055077873,0.18229661177291,6.465652902712801,69.95151698581947,6.390127695370011,Very Low,High,lecrín,,
Ledaña,1562.0,778.0,784.0,23.85663062926138,65.47445967009804,458.0,1080.0,504.0,18.273,0.0,0.0,0.0,0.0,0.0,18.273,23.85663062926138,2.637703983157895,0.0,0.0032266325224071,0.0029321382842509,0.6696694128583343,0.094609327481593,0.094609327481593,0.2383743488257783,0.3821393701699636,0.525904391514149,0.6696694128583343,-0.4535232277438619,0.2793033671243239,2.384254646408004,89.51699713289173,2.385440947951599,Very Low,Very High,ledaña,39.3561864,-1.715765
Ledesma,1553.0,757.0,796.0,10.997049866691905,141.21969244713156,477.0,1202.0,434.0,21.491,2.98911618,2.53012048,0.0,0.0,0.0,21.491,10.997049866691905,2.75961833,0.0,0.0027945911139729,0.0030714745653573,0.3545363827435347,0.0858351552714166,0.0858351552714166,0.1530104621394461,0.2201857690074756,0.2873610758755052,0.3545363827435347,-0.3786589373611115,0.2090030097801455,1.171810122059885,81.21509319287405,1.1383520334675925,Very Low,Very High,ledesma,41.0903872,-5.9987649
Ledesma,1553.0,757.0,796.0,10.997049866691905,141.21969244713156,477.0,1202.0,434.0,21.491,2.98911618,2.53012048,0.0,0.0,0.0,21.491,10.997049866691905,2.75961833,0.0,0.0027945911139729,0.0030714745653573,0.3545363827435347,0.0858351552714166,0.0858351552714166,0.1530104621394461,0.2201857690074756,0.2873610758755052,0.3545363827435347,-0.3786589373611115,0.2090030097801455,1.171810122059885,81.21509319287405,1.1383520334675925,Very Low,Very High,ledesma,42.7962619,-8.3435832
Leganés,187762.0,90732.0,97030.0,4339.985918582395,43.263274011112514,65860.0,147723.0,40702.0,29.802,8.742342238111888,0.0583604991608391,8.0,-3.766047125,40.328910725,29.802,4339.985918582395,4.400351368636364,0.0308880308880308,0.0021677442720039,0.0035076320022155,23.412837126508613,0.0736878743033286,0.0736878743033286,5.908475187354649,11.74326250040597,17.578049813457294,23.412837126508613,2.748252082754029,-1.8123345373090292,89.8864411062056,69.72163747832705,89.86932898814463,Very High,High,leganés,40.3281942,-3.76527
Leiro,1510.0,743.0,767.0,39.47174535339853,38.25521234190848,294.0,902.0,681.0,21.228,0.0,3.37429233,0.0,0.0,0.0,21.228,39.47174535339853,1.687146165,0.0,0.0045099337748344,0.0019470198675496,1.9017431056810787,0.0878093066093592,0.0878093066093592,0.5412927563772891,0.994776206145219,1.4482596559131489,1.9017431056810787,-0.3553836590561577,0.2526397378959061,7.124541635404744,83.08298618358245,7.102919295239259,Very Low,Very High,leiro,43.3589688,-8.1798905
Leiro,1510.0,743.0,767.0,39.47174535339853,38.25521234190848,294.0,902.0,681.0,21.228,0.0,3.37429233,0.0,0.0,0.0,21.228,39.47174535339853,1.687146165,0.0,0.0045099337748344,0.0019470198675496,1.9017431056810787,0.0878093066093592,0.0878093066093592,0.5412927563772891,0.994776206145219,1.4482596559131489,1.9017431056810787,-0.3553836590561577,0.2526397378959061,7.124541635404744,83.08298618358245,7.102919295239259,Very Low,Very High,leiro,42.3701611,-8.1248862
Leiro,1510.0,743.0,767.0,39.47174535339853,38.25521234190848,294.0,902.0,681.0,21.228,0.0,3.37429233,0.0,0.0,0.0,21.228,39.47174535339853,1.687146165,0.0,0.0045099337748344,0.0019470198675496,1.9017431056810787,0.0878093066093592,0.0878093066093592,0.5412927563772891,0.994776206145219,1.4482596559131489,1.9017431056810787,-0.3553836590561577,0.2526397378959061,7.124541635404744,83.08298618358245,7.102919295239259,Very Low,Very High,leiro,43.1906687,-8.2669192
Leiro,1510.0,743.0,767.0,39.47174535339853,38.25521234190848,294.0,902.0,681.0,21.228,0.0,3.37429233,0.0,0.0,0.0,21.228,39.47174535339853,1.687146165,0.0,0.0045099337748344,0.0019470198675496,1.9017431056810787,0.0878093066093592,0.0878093066093592,0.5412927563772891,0.994776206145219,1.4482596559131489,1.9017431056810787,-0.3553836590561577,0.2526397378959061,7.124541635404744,83.08298618358245,7.102919295239259,Very Low,Very High,leiro,43.4451408,-8.2797888
Lena,10596.0,5112.0,5484.0,33.30019880024531,318.1962985735071,2894.0,8123.0,2963.0,28.51,2.962947067,0.803876421,0.0,0.0,0.0,28.51,33.30019880024531,1.883411744,0.0,0.0027963382408456,0.0027312193280483,1.9734211848197964,0.0763741305115814,0.0763741305115814,0.5506358940886351,1.024897657665689,1.4991594212427426,1.9734211848197964,-0.1287438147561069,0.0310932524887515,7.400316264728336,72.2633064204212,7.334863061908932,Very Low,High,lena,,
León,122051.0,55166.0,66885.0,3126.689567194877,39.03521516192559,37182.0,91559.0,33213.0,29.6335,5.12859243981132,0.2985591456603773,9.0,-5.571027866666666,42.5981567,29.6335,3126.689567194877,2.7135757927358486,0.0347490347490347,0.0027212394818559,0.0030464314098204,24.780870991164953,0.0800199752043395,0.0800199752043395,6.255232729194493,12.430445483184648,18.605658237174797,24.780870991164953,2.137373901534122,-1.3609079021295518,95.14982199560691,75.71291416625463,95.1608339247069,Very High,High,león,42.5989995,-5.5682413
León,122051.0,55166.0,66885.0,3126.689567194877,39.03521516192559,37182.0,91559.0,33213.0,29.6335,5.12859243981132,0.2985591456603773,9.0,-5.571027866666666,42.5981567,29.6335,3126.689567194877,2.7135757927358486,0.0347490347490347,0.0027212394818559,0.0030464314098204,24.780870991164953,0.0800199752043395,0.0800199752043395,6.255232729194493,12.430445483184648,18.605658237174797,24.780870991164953,2.137373901534122,-1.3609079021295518,95.14982199560691,75.71291416625463,95.1608339247069,Very High,High,león,42.831922,-7.6303552
León,122051.0,55166.0,66885.0,3126.689567194877,39.03521516192559,37182.0,91559.0,33213.0,29.6335,5.12859243981132,0.2985591456603773,9.0,-5.571027866666666,42.5981567,29.6335,3126.689567194877,2.7135757927358486,0.0347490347490347,0.0027212394818559,0.0030464314098204,24.780870991164953,0.0800199752043395,0.0800199752043395,6.255232729194493,12.430445483184648,18.605658237174797,24.780870991164953,2.137373901534122,-1.3609079021295518,95.14982199560691,75.71291416625463,95.1608339247069,Very High,High,león,42.8117526,-8.359109
Lepe,28293.0,14593.0,13700.0,221.9632647452506,127.46703844202396,11881.0,24005.0,3042.0,20.059,3.0859306406666667,1.74334419,0.0,0.0,0.0,20.059,221.9632647452506,2.4146374153333334,0.0,0.0010751776057682,0.0041992719047114,5.549983314500087,0.0451496311247733,0.0451496311247733,1.4213580519686018,2.7975664728124303,4.173774893656258,5.549983314500087,-0.212270271894167,0.0411945757307782,21.16080074501914,42.71946020051551,20.984918463906645,Low,Medium,lepe,28.1865194,-17.187038
Lepe,28293.0,14593.0,13700.0,221.9632647452506,127.46703844202396,11881.0,24005.0,3042.0,20.059,3.0859306406666667,1.74334419,0.0,0.0,0.0,20.059,221.9632647452506,2.4146374153333334,0.0,0.0010751776057682,0.0041992719047114,5.549983314500087,0.0451496311247733,0.0451496311247733,1.4213580519686018,2.7975664728124303,4.173774893656258,5.549983314500087,-0.212270271894167,0.0411945757307782,21.16080074501914,42.71946020051551,20.984918463906645,Low,Medium,lepe,37.2551712,-7.201556
Lerma,2609.0,1308.0,1301.0,15.84135704780296,164.69548613335766,820.0,1984.0,576.0,24.801,3.847302785,0.0,0.0,0.0,0.0,24.801,15.84135704780296,1.9236513925,0.0,0.0022077424300498,0.0031429666538903,0.8308545482047308,0.0693886083802552,0.0693886083802552,0.2597550933363741,0.450121578292493,0.6404880632486118,0.8308545482047308,-0.2940813864738163,0.1231004211412995,3.0043992078519643,65.65377878454048,2.908923337495328,Very Low,High,lerma,42.0262334,-3.7559335
Les,966.0,475.0,491.0,41.29093532793237,23.394965319337853,373.0,826.0,128.0,40.232,5.52941176,3.58817302,0.0,0.0,0.0,40.232,41.29093532793237,4.558792390000001,0.0,0.0013250517598343,0.0038612836438923,1.474024039259021,0.051164006875592,0.051164006875592,0.4068790149714492,0.7625940230673065,1.1183090311631636,1.474024039259021,0.0962368832021066,-0.1782574326382411,5.478932986086715,48.41011323836656,5.315050272390833,Very Low,Medium,les,42.8126854,0.7118311
